9/19 (六) ,11:35,（13）傷兵院・金頂教堂・拿破崙地下陵寢,步行5分鐘即達,✅博物館通票,11:35-13:00,,,,1,Arc de Triomphe - 凱旋門
9/19 (六) ,午後,　,地鐵8號線→École Militaire站,,夏樂宮仰角最美・戰神廣場正面全景,,,,2,Centre Pompidou | Musée national d'art moderne - 龐畢度中心 | 國家現代藝術博物館 (備註：閉館整修至 2030 年)
9/19 (六) ,18:30,（1）登凱旋門頂樓觀景台（俯瞰12條放射大道+鐵塔點燈）,地鐵6號線→Charles de Gaulle-Étoile站,持通票免預約可以直接上去,18:30-20:30・鐵塔20:00開始閃燈,,,,3,Chapelle expiatoire - 贖罪禮拜堂
9/19 (六) ,20:30後,香榭麗舍大道晚餐,步行至大道餐廳,,,,,,4,Cité de l'architecture & du patrimoine - 建築與遺產城（建築遺產博物館）
9/19 (六) ,,,,,,,,,5,Cité des sciences et de l'industrie - 科學與工業城
,,,,,,,,,6,Conciergerie - 巴黎古監獄
9/20 (日) 博物館通票 Day 4,9:30,（11）奧塞美術館（梵谷・莫內・雷諾瓦・米勒《拾穗》真跡）,RER C→Musée d'Orsay站,✅博物館通票,09:30-12:30・直奔五樓精華・拍舊時鐘透視背景網美景,,,,7,Crypte archéologique de l'Île de la Cité - 西堤島地下考古遺址（聖母院地下考古遺址）
9/20 (日) ,14:00,（8）海軍府 Musée de la Marine（2023翻新・奢華展覽）,步行15分鐘穿過協和廣場,✅博物館通票（2023重開後仍涵蓋）,14:00-15:30,,,,8,Hôtel de la Marine - 海軍府
9/20 (日) ,16:00,（15）橘園美術館 Orangerie・莫內巨幅睡蓮全景沉浸,步行5分鐘至杜樂麗花園對面,🔴需預約 musee-orangerie.fr,PMP可用但仍需線上預約入場時段・沉浸360度睡蓮,,,,9,La Cinémathèque française | Musée Méliès - 法國電影園地 | 梅里葉博物館
9/20 (日) ,19:15,塞納河遊船（賞19:35日落+20:00鐵塔閃燈）,步行20分或地鐵→阿爾瑪橋碼頭 Pont de l'Alma,單獨購票,19:15登船・在河上目睹20:00鐵塔首次閃燈,,,,10,Musée d'art et d'histoire du Judaïsme - 猶太歷史與藝術博物館
9/20 (日) ,21:00後,慶祝通票圓滿完成・精緻晚餐,步行,⬜免費,,,,,11,Musée d'Orsay - 奧塞美術館
,,,,,,,,,12,Musée de Cluny _ Musée du Moyen Âge - 克呂尼博物館（國立中世紀博物館）
,,,,,,,,,13,Musée de l'Armée _ Tombeau de Napoléon - 軍事博物館 _ 拿破崙陵墓（傷兵院）
,,,,,,,,,14,Musée de l'Institut du monde arabe - 阿拉伯世界研究所博物館
,,,,,,,,,15,Musée de l'Orangerie - 橘園美術館
,,,,,,,,,16,Musée de l'Ordre de la Libération - 解放勳章博物館（傷兵院內）
有用圖文,https://www.bring-you.info/zh-tw/paris-museum-pass,,,,,,,,17,Musée national de la Marine - 國家海軍博物館 (備註：全新開幕)
,,,,,,,,,18,Musée des Arts asiatiques_Guimet - 吉美亞洲藝術博物館
,第一天和第三天對換,,,,,,,,19,Musée des Arts décoratifs - 裝飾藝術博物館
,,,,,,,,,20,Musée des arts et métiers - 工藝美術博物館
,,,,,,,,,21,Musée des Plans-reliefs - 立體地圖模型博物館（傷兵院內）
,,,,,,,,,22,Musée du Louvre - 羅浮宮
,,,,,,,,,23,Musée du quai Branly - 凱布朗利博物館（非歐洲藝術博物館）
,,,,,,,,,24,Musée Eugène-Delacroix - 德拉克洛瓦國立博物館
,,,,,,,,,25,Musée Gustave Moreau - 居斯塔夫·莫羅美術館
,,,,,,,,,26,Musée Jean-Jacques Henner - 讓-雅克·亨納國立博物館
,,,,,,,,,27,Musée de l'history de l'immigration - 移民歷史博物館
,,,,,,,,,28,Musée Nissim de Camondo - 尼辛德卡蒙多博物館 (備註：閉館整修至 2027 年)
,,,,,,,,,29,Musée Picasso-Paris - 畢卡索美術館
,,,,,,,,,30,Musée Rodin-Paris - 羅丹美術館（巴黎館）
,,,,,,,,,31,Panthéon - 先賢祠
,,,,,,,,,32,Philharmonie de Paris | Musée de la musique - 巴黎愛樂廳 | 音樂博物館
,,,,,,,,,33,Sainte-Chapelle - 聖禮拜堂
,,,,,,,,,34,Tours de Notre-Dame - 巴黎聖母院鐘樓
,,,,,,,,,35,Basilique cathédrale Saint-Denis - 聖丹尼聖殿主教座堂
,,,,,,,,,36,Château de Champs-sur-Marne - 馬恩河畔香榭城堡
,,,,,,,,,37,Château de Chantilly - 尚蒂伊城堡
,,,,,,,,,38,Château de Compiègne - 貢比涅城堡
,,,,,,,,,39,Château de Fontainebleau - 楓丹白露宮 / 城堡
,,,,,,,,,40,Château de Maisons - 梅松城堡
,,,,,,,,,41,Château de Pierrefonds - 皮耶楓城堡
,,,,,,,,,42,Château de Rambouillet - 朗布依埃城堡
,,,,,,,,,43,Château de Vincennes - 文森城堡
,,,,,,,,,44,Châteaux de Versailles et de Trianon - 凡爾賽宮與特里亞農宮
,,,,,,,,,45,Cité internationale de la langue française | Château de Villers-Cotterêts - 國際法語城 | 維萊科特雷城堡
,,,,,,,,,46,Domaine de Chaalis - 沙利修道院領地
,,,,,,,,,47,Musée d'Archéologie nationale - 國家考古博物館
,,,,,,,,,48,Musée de l'Air et de l'Espace - 航空太空博物館
,,,,,,,,,49,Musée de la Renaissance | Château d'Écouen - 文藝復興國家博物館 | 埃庫昂城堡
,,,,,,,,,50,Musée de Port-Royal des Champs - 皇家港田野博物館
,,,,,,,,,51,Musée du château de Malmaison - 馬爾梅松城堡博物館
,,,,,,,,,52,Musée franco-américain du château de Blérancourt - 布萊朗庫爾城堡法美博物館
,,,,,,,,,53,Musée Rodin-Meudon - 羅丹美術館（默東分館）
,,,,,,,,,54,Sèvres | Manufacture et Musée - 塞夫爾陶瓷製造廠與博物館
,,,,,,,,,55,Villa Savoye - 薩伏伊別墅
