日期,時間,行程名稱,交通 / 備註,狀態,詳細執行筆記與注意事項心法
9/22 (二),08:50,奧塞美術館門口排隊邊吃早餐（前廣場 Accès 2 通道）,奧塞美術館戶外廣場,現場排隊 (前廣場 Accès 2 通道),奧塞美術館週二 09:30 開門・持 PMP 現場排在【前廣場 Accès 2（無預約/通票通道）】・08:50 卡位前排邊吃可頌咖啡・09:30 首批進館
9/22 (二),09:30,⭐ 奧塞美術館 (Musée d'Orsay) 印象派名作巡禮,RER C 線 Musée d'Orsay 站旁,✅持博物館通票進場,由舊火車站改建之藝術殿堂・持 PMP 入場・直奔 5 樓看梵谷《自畫像》、莫內、雷諾瓦真跡・於巨型透光時鐘前拍照・參觀時間約 2 小時
9/22 (二),11:45,跨越塞納河皇家橋 ➔ 巴黎裝飾藝術博物館 (MAD),皇家橋 ➔ 107 Rue de Rivoli,✅持博物館通票進場,奧塞出來步行 10 分鐘跨過塞納河直達羅浮宮西翼・持 PMP 免費免預約直入・參觀頂級時裝展示廳、珠寶工藝、法式室內裝潢與挑高中庭・參觀約 1.5 小時
9/22 (二),13:50,步出裝飾博物館 ➔ 步行至 Le Soufflé 舒芙蕾午餐,步行 400 公尺 (約5-6分鐘),⬜免費漫步,沿 Rue de Rivoli 轉 Mont Thabor 街步行 400 公尺至餐廳門口・備案：若上午提早餓不想等14:00可改於奧塞旁 Cafe de L'Empire 吃午餐
9/22 (二),14:00,🥞 Le Soufflé 正統法式舒芙蕾午餐（已預約 14:00 兩位）,"36 Rue du Mont Thabor, 75001 Paris",✅已預約 14:00 (2人),巴黎傳奇舒芙蕾專門店！享用現烤鹹舒芙蕾（乳酪/紅酒燉牛肉）與經典甜舒芙蕾（柑橘橙酒/黑巧克力）・入座請先告知店員後續有行程・用餐約45分鐘・14:48步行前往海軍府
9/22 (二),14:50,步行 500 公尺抵達協和廣場海軍府門口安檢,Mont Thabor ➔ 協和廣場,⬜步行約6分鐘,步行 500 公尺直達協和廣場北側海軍府・14:55 準備安檢驗票進場
9/22 (二),15:00,⭐ 海軍府 (Hôtel de la Marine) 預約入場參觀,2 Place de la Concorde (協和廣場北側),✅已預約 15:00 (雙人 PMP),持預約憑證與 PMP 入場（訂單: 2625636951330402317・票號: 101385119883301/481）・領取 Confident 中文 3D 導覽耳機・參觀 18 世紀皇家家具保管處奢華寓所與國事大廳・二樓露台俯瞰協和廣場・憑證存 data/0922_海軍府_雙人門票預約憑證.pdf
9/22 (二),16:45,🌿 羅丹美術館 (Musée Rodin) 雕塑與玫瑰花園巡禮,"77 Rue de Varenne, 75007 Paris",✅持博物館通票進場,營業至 18:30（最後入場 17:45）・比傷兵院更優雅且時間更充裕・持 PMP 免預約直入・漫步戶外玫瑰雕塑花園欣賞《沉思者》、《吻》、《地獄之門》真跡與畢隆宅邸室內展廳・身心極放鬆
9/22 (二),18:15,🛍️ 樂蓬馬歇貴婦百貨逛街 ＆ 🍰 Ritz 麗思飯店傳奇甜點,"24 Rue de Sèvres, 75007 Paris",⬜免預約自由逛街,從羅丹美術館步行 10 分鐘直達：① Ritz Paris Le Comptoir Sèvres 享用傳奇千層派與夾心瑪德蓮（免大排隊） ② 樂蓬馬歇百貨(Le Bon Marché)逛街與 Polène 專櫃試背 ③ 頂級超市 La Grande Épicerie 買法式松露與伴手禮
9/22 (二),20:00,左岸特色晚餐 ➔ 搭車返回 13 區 B&B 飯店,Sèvres - Babylone 站 / 地鐵 10 號轉 7 號,地鐵單程票 / Navigo Easy,於左岸街區享用輕鬆晚餐・滿載戰利品搭乘地鐵返回飯店休息
9/23 (三),整天,Polène 香榭旗艦店 ➔ 羅浮宮深度參觀（夜間延長至 21:00） ➔ 玻璃金字塔夜景,地鐵 1 號線直達,已預約,10:00Polène旗艦店免排隊買包・12:30羅浮宮深度遊・杜樂麗花園・20:00拍金字塔金色夜景・宿B&B
9/23 (三),10:00,⭐ Polène Paris 香榭旗艦店朝聖（開門第一批免排隊！）,"2 Rond-Point des Champs-Élysées, 75008 Paris",⬜開門第一批 (免排長隊),2023年底全新開幕雙層旗艦藝廊！平日 10:00 開門抵達免排隊・店員一對一親切服務・顏色款式最齊・現場直接開立電子退稅單
9/23 (三),11:30,前往羅浮宮地下卡魯塞爾商場（包包寄放免費置物櫃！）,地鐵 1 號線至 Palais Royal - Musée du Louvre,⬜免費置物,買完的 Polène 戰利品直接帶至羅浮宮地下置物區【免費密碼置物櫃】寄放・卸下重物一身輕鬆！於地下商場輕食咖啡店墊胃
9/23 (三),12:30,⭐ 羅浮宮博物館 (Musée du Louvre) 深度藝術尋寶,由地下卡魯塞爾 (Carrousel) 入口進館,✅已預約 12:30 入場 (C262540015444),避開上午大批團客！經典三寶必看路線：【薩莫色雷斯的勝利女神】➔【蒙娜麗莎的微笑】➔【米洛的維納斯】・接著參觀奢華至極的【拿破崙三世套房】與古埃及金飾文物・週三夜間延長開放至 21:00！
9/23 (三),18:30,杜樂麗花園漫步 ＆ 皇家宮殿拱廊小憩,羅浮宮旁杜樂麗花園 (Jardin des Tuileries),⬜免費漫步,坐在杜樂麗大噴水池旁綠色躺椅吹涼風・漫步至皇家宮殿迴廊喝杯小狐狸咖啡 (Café Kitsuné)
9/23 (三),20:00,⭐ 羅浮宮玻璃金字塔科幻金光夜景 ＆ 慶祝晚餐,羅浮宮中庭廣場 (Cour Napoléon),⬜最佳夜拍時刻,太陽下山後貝聿銘玻璃金字塔點亮耀眼金光！倒映在周邊水池中宛如科幻漂浮晶鑽・在金字塔前拍浪漫牽手夜景・接著至周邊宮廊享用浪漫晚餐
9/24 (四),整天,聖心堂俯瞰 ➔ 12:00 Pink Mamma ➔ 奧斯曼商圈 ➔ 17:00 歌劇院閉館夜間導覽,地鐵 2 / 12 / 7 號線,已預約,09:30聖心堂愛牆・12:00Pink Mamma松露麵・奧斯曼老佛爺・17:00歌劇院閉館導覽・外帶早睡迎戰明日06:48高鐵・宿B&B
9/24 (四),09:30,蒙馬特高地 (Montmartre) 聖心堂俯瞰巴黎全景 ＆ 愛牆,地鐵 2 號線至 Anvers 站步行登山,⬜免費 (進堂免門票),登頂聖心堂 (Basilique du Sacré-Cœur) 前石階俯瞰巴黎無際市景・走訪 Abbesses 愛牆用 250 種語言說「我愛你」・⚠️注意：爬樓梯遇索拿紅線編手環者請雙手插口袋快步通過切勿理會！
9/24 (四),11:00,蒙馬特精緻甜點巡禮 (Pain Pain 閃電泡芙 / 水果塔),88 Rue des Martyrs / Rue des Abbesses,自費品嚐,順道外帶 Pain Pain 開心果閃電泡芙或可頌・品嚐蒙馬特第一甜點
9/24 (四),12:00,⭐ Pink Mamma 頂級復古玻璃花房義式午餐,"20bis Rue de Douai, 75009 Paris",✅已訂位 12:00 (2人),預約訂單【#8L5ME23WMRFA】・四層樓復古藤蔓與油畫裝飾！桌位保留15分鐘・必點：【松露手工義大利麵 (Truffle Pasta)】香濃滑順、佛羅倫斯丁骨大牛排、超大盆手作提拉米蘇・憑證存 data/0924_Pink_Mamma_訂位確認憑證.png
9/24 (四),13:45,漫步至奧斯曼大道商圈百貨 ＆ 體驗 Glasswalk 空中步道,沿 Rue Blanche 緩緩下坡步行 1.3km 至歌劇院商圈,⬜免費參觀,漫步至老佛爺百貨 (Galeries Lafayette)・至主館 3 樓體驗懸空 9 米【Glasswalk 空中玻璃步道】仰望新藝術彩繪穹頂・或至 8 樓免費頂樓平台遠眺鐵塔
9/24 (四),16:30,⚠️ 提前 30 分鐘抵達加尼葉歌劇院集合！,加尼葉歌劇院 (Palais Garnier),✅已購門票 (op07092026-932770962),rue Scribe 與 rue Auber 交叉轉角・查爾斯·加尼葉銅像後方的【參觀者入口 (Visiteurs)】・出示 Email 電子憑證換票
9/24 (四),17:00,⭐ 巴黎加尼葉歌劇院 (Palais Garnier) 閉館夜間專屬導覽,歌劇院大樓廳與觀眾席,✅已預約 17:00 閉館中文導覽,一般遊客離館後的專屬安靜導覽！走上純白大理石雙向大階梯、仰望夏卡爾手繪天花板巨幅壁畫與七噸重水晶吊燈・漫步金碧輝煌的華麗大休息廳 (Grand Foyer)・感受《歌劇魅影》傳奇殿堂震撼！
9/24 (四),18:30,奧斯曼商圈外帶精緻熟食晚餐 ➔ 搭地鐵返回飯店,超市熟食專櫃 / 地鐵 7 號線直達,現場付款,歌劇院導覽結束・外帶法式烤雞或熱熟食回 13 區 B&B 飯店・邊吃晚餐邊將大件行李打包整齊
9/24 (四),20:30,行李打包最後確認 ➔ 21:30 前早早就寢迎接明日高鐵！,飯店房間內,⬜早睡充電,⚠️婚紗已於 9/21 歸還一身輕！今晚將 2 件大行李箱打包整齊・可預約明日 05:35 G7/Uber 計程車・明日 05:00 起床梳洗・05:35 退房搭計程車直達蒙帕納斯高鐵站 (12-15分免搬行李擠地鐵)・今晚設好雙重鬧鐘早睡充電！
